StudentID,Course,Mode_of_Study,Age,Gender,Admission_Date,Attendance_%,Assignment_Score,Midterm_Score,Final_Score,Hours_Studied_Weekly,Forum_Participation,Fee_Paid_%,Scholarship,Counseling_Sessions,Overall_Score,Pass_Fail,Dropout_Risk,Status
2001,Finance,Hybrid,25,Male,2024-06-01,86,77,77,68,15,33,54,Yes,0,72.5,Pass,Medium,Active
2002,HR Management,Hybrid,34,Female,2024-06-02,55,55,53,82,14,11,57,Yes,1,67.9,Pass,High,At-Risk
2003,Digital Marketing,Offline,33,Female,2024-06-03,62,68,43,64,10,15,81,No,1,58.5,Pass,Low,Active
2004,HR Management,Online,27,Female,2024-06-04,46,87,71,92,7,3,67,No,2,84.7,Pass,High,At-Risk
2005,HR Management,Offline,27,Female,2024-06-05,65,48,32,98,7,24,87,No,4,68.2,Pass,Low,Active
2006,Web Dev,Online,19,Male,2024-06-06,71,87,47,58,20,33,95,No,0,60.5,Pass,Low,Active
2007,Digital Marketing,Online,26,Female,2024-06-07,51,57,59,84,22,27,67,No,3,71.1,Pass,High,At-Risk
2008,Digital Marketing,Online,34,Female,2024-06-08,47,95,77,88,11,45,98,No,2,86.1,Pass,Medium,Active
2009,Digital Marketing,Offline,28,Male,2024-06-09,44,39,82,75,24,10,90,No,0,69.9,Pass,High,At-Risk
2010,HR Management,Online,27,Male,2024-06-10,81,87,29,28,4,12,94,No,2,40.1,Fail,Medium,Active
2011,Finance,Offline,34,Female,2024-06-11,67,43,40,89,19,30,65,No,2,65.1,Pass,Low,Active
2012,Digital Marketing,Hybrid,21,Male,2024-06-12,92,44,41,47,22,24,70,No,4,44.6,Fail,High,At-Risk
2013,HR Management,Hybrid,33,Male,2024-06-13,44,62,56,64,20,38,59,No,3,61.2,Pass,High,At-Risk
2014,Web Dev,Online,32,Male,2024-06-14,88,46,76,45,6,9,91,No,0,54.5,Pass,Low,Active
2015,Finance,Offline,22,Female,2024-06-15,65,53,44,47,12,23,53,No,2,47.3,Fail,High,At-Risk
2016,Web Dev,Hybrid,23,Male,2024-06-16,44,59,90,59,11,0,93,No,2,68.3,Pass,Medium,Active
2017,Finance,Offline,34,Female,2024-06-17,61,91,25,34,18,24,57,No,0,42.7,Fail,High,At-Risk
2018,HR Management,Offline,18,Female,2024-06-18,54,42,82,25,5,27,96,Yes,2,45.5,Fail,High,At-Risk
2019,Data Science,Online,21,Female,2024-06-19,52,91,68,46,22,35,68,No,2,61.599999999999994,Pass,High,At-Risk
2020,Finance,Hybrid,34,Female,2024-06-20,67,76,30,57,19,17,96,No,2,52.7,Pass,Low,Active
2021,Web Dev,Online,26,Male,2024-06-21,72,45,74,87,19,5,89,No,1,74.7,Pass,Low,Active
2022,HR Management,Online,19,Female,2024-06-22,82,95,96,94,2,1,89,No,1,94.8,Pass,Low,Active
2023,Finance,Hybrid,25,Male,2024-06-23,62,72,44,83,15,2,100,Yes,3,69.1,Pass,Low,Active
2024,Data Science,Hybrid,32,Female,2024-06-24,72,37,38,49,9,45,58,Yes,4,43.3,Fail,High,At-Risk
2025,Data Science,Offline,24,Male,2024-06-25,82,32,29,22,3,7,79,No,0,26.1,Fail,High,At-Risk
2026,Digital Marketing,Hybrid,23,Female,2024-06-26,57,41,65,81,20,30,66,Yes,4,68.2,Pass,High,At-Risk
2027,Digital Marketing,Offline,18,Male,2024-06-27,89,45,64,31,16,47,89,No,4,43.7,Fail,Medium,Active
2028,Web Dev,Offline,32,Female,2024-06-28,92,88,58,49,3,18,93,Yes,1,59.5,Pass,Low,Active
2029,Finance,Offline,24,Female,2024-06-29,69,78,69,57,5,49,64,No,3,64.8,Pass,Low,Active
2030,Finance,Hybrid,34,Male,2024-06-30,65,92,95,79,2,5,53,Yes,4,86.4,Pass,Low,Active
